Id_organization;Id_character;state;years_in
13;923;False;14
33;975;False;12
10;969;False;14
26;328;False;11
10;310;True;12
24;578;True;10
26;69;False;30
1;371;True;44
1;65;False;24
2;460;False;45
13;879;True;30
24;467;False;13
8;886;False;42
9;315;False;29
21;547;False;20
29;7;False;31
19;96;False;37
25;317;True;13
4;389;True;31
27;950;False;20
1;835;False;27
36;862;False;48
11;75;True;18
1;569;True;22
25;671;True;45
32;80;True;40
1;29;True;49
23;85;False;30
17;779;False;1
34;858;False;41
7;72;False;38
7;710;True;43
8;983;True;2
19;4;False;41
4;1001;True;44
35;841;True;37
12;299;False;40
11;593;False;14
34;406;False;24
13;818;True;15
28;839;True;4
24;899;False;2
26;258;False;45
34;912;True;22
1;218;True;8
19;543;True;7
6;495;False;8
35;644;False;9
30;425;False;9
1;317;True;45
34;228;True;27
35;724;False;22
14;110;True;12
3;188;True;21
6;896;True;37
4;791;True;5
19;727;True;23
12;787;False;14
22;833;False;10
15;683;True;15
31;747;False;8
14;273;False;46
30;641;False;26
26;337;True;31
23;723;True;14
29;697;True;45
9;389;False;10
10;890;True;46
32;190;True;22
32;283;False;20
7;628;False;2
20;567;False;48
20;923;False;8
35;536;True;43
4;808;False;40
7;4;False;39
23;871;True;6
24;739;False;3
32;693;True;25
21;63;False;45
2;667;False;6
21;814;False;48
2;599;True;45
14;915;False;13
4;404;True;38
35;135;False;20
11;745;False;33
33;215;True;3
30;19;False;46
28;881;False;22
26;159;False;5
27;794;False;49
35;142;True;35
29;45;True;32
28;189;True;9
16;974;False;33
10;757;True;29
16;47;True;3
18;488;False;26
29;673;False;30
6;171;False;45
9;836;False;46
27;331;True;5
17;978;True;1
5;379;False;13
25;296;False;8
32;917;False;23
15;527;True;1
30;86;True;10
1;986;True;44
17;820;False;3
30;869;False;11
3;818;False;19
2;678;True;4
25;786;False;26
15;442;False;47
17;226;True;37
31;673;True;41
14;492;True;26
36;306;True;27
34;26;False;50
16;447;False;35
21;255;True;32
6;45;False;21
26;862;False;15
13;867;False;4
26;488;True;31
31;914;False;28
24;800;False;21
6;433;True;20
36;173;True;19
33;826;True;4
23;338;True;20
14;759;True;45
18;716;True;25
26;770;False;1
20;314;False;21
22;586;True;15
16;210;True;25
2;591;True;5
20;198;False;11
32;487;True;7
21;855;True;4
23;137;True;36
17;31;True;21
30;157;True;49
13;91;False;49
8;278;True;45
21;886;False;30
5;474;False;46
32;424;False;15
16;628;True;30
6;502;True;9
31;24;False;40
11;653;False;34
13;959;True;25
3;600;True;45
21;367;False;49
26;504;False;8
35;583;True;19
15;812;True;42
2;28;True;33
18;62;False;24
6;808;False;34
3;318;True;12
29;38;True;50
2;926;True;7
22;867;False;32
20;864;False;1
28;351;True;12
36;499;False;32
18;134;False;38
26;633;False;16
25;238;True;37
29;798;True;1
2;119;False;25
17;427;False;16
18;944;True;32
23;585;False;10
32;434;False;14
7;669;True;49
31;469;True;6
12;202;True;42
29;626;True;45
17;509;False;43
22;642;True;25
29;647;True;33
7;575;False;23
1;201;True;41
18;782;True;42
20;749;False;33
27;231;False;6
2;700;False;23
21;246;False;45
8;692;False;39
32;729;True;40
19;430;False;24
31;214;False;38
3;771;True;49
8;610;False;34
26;141;True;49
23;308;True;11
31;427;True;5
8;568;False;12
13;377;True;47
22;695;True;23
14;413;True;27
12;570;False;6
7;658;False;24
11;164;True;18
6;795;True;26
25;241;False;8
19;751;True;14
36;630;False;12
28;612;True;48
2;665;True;6
29;652;True;41
5;239;False;1
26;764;False;44
22;458;False;49
24;364;True;1
27;997;True;48
34;688;True;14
7;233;True;26
35;849;False;13
3;374;True;16
13;641;False;2
7;578;False;4
3;596;False;18
17;272;True;8
11;216;False;24
33;612;False;17
16;377;False;15
4;76;True;36
18;415;False;16
32;355;False;23
7;400;False;24
28;791;True;20
22;232;False;9
18;626;True;26
6;530;False;37
1;450;False;16
22;463;True;17
29;608;False;46
13;545;True;13
23;888;False;4
32;378;True;49
9;978;True;5
5;997;True;19
14;498;True;6
33;88;True;39
4;702;True;16
20;39;True;27
10;59;False;40
3;123;True;7
19;477;True;33
8;324;False;17
9;103;False;15
25;966;False;17
26;983;True;28
28;374;False;37
21;484;True;2
36;538;False;8
35;251;True;7
16;469;False;24
17;861;False;39
31;965;False;33
23;528;False;17
14;107;False;7
9;7;True;26
36;65;True;38
34;571;True;43
34;476;True;19
11;704;True;26
35;674;False;28
36;516;True;42
11;474;False;39
2;841;True;9
36;828;False;12
31;435;True;10
26;887;True;4
31;254;False;45
16;378;False;50
28;127;True;46
20;4;False;36
29;699;True;42
24;73;False;5
21;11;False;18
11;291;False;26
5;787;True;49
16;61;False;23
15;43;True;1
17;328;True;41
24;568;True;13
36;756;True;47
16;517;True;3
13;696;True;42
30;218;True;24
23;712;False;38
5;539;True;36
26;303;True;47
26;319;False;14
14;925;False;38
24;521;False;25
22;249;True;1
7;466;True;11
28;607;False;8
21;292;True;49
21;335;True;11
9;995;True;21
25;843;True;19
28;958;True;34
23;435;True;40
9;200;True;21
17;486;True;27
25;28;False;34
23;160;True;41
21;607;False;6
33;978;False;33
11;742;False;20
34;604;True;13
31;206;False;49
30;363;False;1
7;133;False;47
16;555;True;14
13;364;True;30
30;288;True;27
32;498;True;17
11;135;False;20
2;819;True;22
8;734;True;45
3;523;False;14
22;532;False;27
29;239;True;48
26;1000;False;32
14;188;True;23
7;355;False;31
17;916;True;48
19;272;True;20
13;264;True;47
4;353;True;7
12;267;True;10
18;267;True;34
35;367;False;7
34;231;True;17
20;499;True;39
16;933;False;18
22;870;False;16
35;559;True;8
10;730;True;22
2;448;True;17
17;202;True;18
5;690;False;22
34;674;False;49
27;720;True;8
8;945;True;5
9;440;False;38
29;187;False;19
26;597;True;15
30;841;False;12
2;822;True;3
5;22;True;27
24;980;True;28
7;149;True;22
21;533;True;32
10;836;True;4
16;315;False;15
6;204;True;35
12;83;True;13
11;387;True;7
34;254;False;43
22;664;False;15
17;764;True;29
18;376;True;32
24;641;True;32
16;412;False;44
12;933;False;13
12;498;True;33
35;173;False;24
6;242;False;43
3;387;True;45
24;133;True;46
18;643;False;28
22;376;False;35
31;401;True;12
12;263;False;20
30;293;True;39
7;212;False;38
11;883;False;2
35;518;True;40
25;161;True;5
3;234;False;48
27;497;False;32
13;538;False;47
12;646;True;18
12;212;True;39
30;10;True;30
32;353;True;21
25;666;False;5
26;799;False;22
15;232;True;11
31;811;False;21
28;766;True;13
14;366;True;50
21;946;True;11
1;796;False;48
26;407;False;30
30;983;True;33
18;447;True;12
22;981;True;47
23;942;True;16
2;882;False;14
36;49;True;30
26;340;True;38
32;377;True;5
27;144;True;4
18;828;False;8
32;930;True;45
35;806;False;37
13;859;True;3
28;179;True;3
2;518;True;19
23;345;False;46
27;597;True;7
7;475;False;39
3;957;True;16
25;362;False;6
18;265;False;9
26;194;True;22
27;286;False;18
6;189;False;5
23;739;True;46
14;174;False;50
10;111;True;42
1;70;False;42
28;51;True;32
35;83;True;26
11;416;True;10
7;757;True;10
13;128;True;32
15;654;False;29
23;60;False;3
12;893;True;13
28;369;False;15
29;433;True;36
24;890;True;42
20;761;True;20
13;638;False;24
36;905;True;38
16;467;False;42
18;498;True;7
22;68;False;39
24;505;False;48
9;663;False;17
6;738;True;27
34;42;False;11
12;723;False;16
1;267;False;38
15;160;True;16
6;780;True;5
19;875;True;34
27;92;False;30
22;137;True;14
21;504;True;5
23;652;False;12
33;4;True;28
30;294;True;15
3;75;False;7
18;878;True;6
20;432;False;22
19;756;True;38
28;666;True;25
36;753;True;44
14;452;True;20
18;923;False;40
9;555;True;16
26;191;False;1
35;344;True;5
11;805;True;48
33;661;True;8
34;796;True;19
9;402;True;40
3;917;True;47
14;680;False;25
4;420;False;15
25;792;True;45
17;154;False;5
29;783;False;40
25;391;True;39
10;398;True;21
29;775;True;34
29;446;True;22
22;712;True;21
35;964;True;5
7;772;False;16
12;917;False;10
8;543;True;2
16;843;True;34
20;495;True;47
8;655;False;5
22;941;False;36
11;254;True;26
13;481;True;14
24;338;True;34
10;135;False;36
28;35;True;15
17;828;True;19
15;526;True;5
23;186;True;28
14;675;True;13
19;531;True;7
28;52;False;23
3;383;True;19
8;468;True;46
35;808;False;40
3;232;True;50
33;953;False;6
16;446;True;40
6;532;False;27
35;834;False;8
32;331;False;42
15;496;False;19
24;657;False;27
35;406;False;17
15;401;True;17
16;620;True;22
24;931;True;8
9;530;True;12
13;37;True;41
20;652;True;34
36;235;False;18
15;8;False;29
6;918;True;27
17;218;False;31
15;44;False;7
19;945;False;47
14;364;True;38
14;823;False;26
13;461;False;40
8;658;False;17
34;771;False;36
31;157;False;4
1;270;True;42
13;206;False;45
24;631;False;37
29;868;False;22
32;505;True;9
3;268;False;38
13;450;True;18
35;917;True;2
16;234;False;39
1;136;True;1
20;785;True;12
26;974;True;21
36;215;False;5
15;58;True;39
36;685;True;28
3;829;True;25
11;777;False;2
16;869;True;25
18;989;True;32
19;922;False;31
4;638;False;38
9;442;True;17
10;123;True;22
4;869;True;10
16;582;False;3
33;20;True;5
23;838;False;7
28;408;False;43
36;314;True;1
6;369;True;45
17;113;False;5
4;805;True;32
13;449;False;26
15;156;True;50
22;911;False;45
20;398;False;32
28;580;False;22
29;854;True;32
33;500;True;28
12;889;False;1
35;238;False;38
15;556;True;45
33;365;True;9
27;181;True;28
10;122;False;27
7;255;False;17
25;789;True;27
21;707;True;28
26;673;True;26
9;152;True;48
30;655;False;40
18;234;True;16
33;475;False;39
21;73;False;28
8;485;True;32
10;172;True;3
3;937;False;49
13;484;False;49
12;1;True;19
28;348;False;48
31;630;True;49
14;570;True;21
27;721;True;8
17;915;False;6
16;335;False;48
1;666;True;42
3;103;True;19
18;165;False;13
9;631;True;47
7;112;False;15
29;698;False;33
35;347;True;1
30;474;False;40
18;20;False;47
31;199;True;43
14;414;False;45
26;795;False;45
29;570;False;11
28;968;True;47
33;135;False;46
10;179;True;9
18;433;False;32
11;920;False;17
19;673;True;15
5;334;False;28
23;990;False;21
13;988;True;27
35;968;True;39
27;76;False;44
12;610;True;48
29;201;False;28
30;319;False;17
7;339;False;43
15;354;True;1
33;894;True;9
10;565;False;20
19;591;False;5
4;123;True;35
36;727;True;50
20;639;True;46
24;714;False;43
3;648;True;25
22;808;False;25
4;578;False;31
12;828;False;17
33;614;False;36
19;564;False;45
5;831;True;22
17;4;False;31
6;825;True;25
6;798;False;32
30;260;True;4
28;196;False;29
31;595;False;31
8;397;False;43
26;133;True;11
23;650;False;28
31;753;True;11
34;124;True;4
21;539;True;36
4;722;False;45
14;190;False;2
17;531;True;9
5;112;True;27
22;138;False;3
35;171;True;21
5;927;False;27
23;461;False;15
11;395;True;36
2;242;True;41
26;249;True;28
10;971;False;2
36;318;False;6
3;754;True;7
16;720;True;47
10;411;False;33
30;676;False;33
10;206;True;27
3;900;True;29
10;183;False;15
36;206;True;12
32;808;True;5
29;376;True;20
22;543;False;45
20;723;False;47
27;161;True;5
11;933;False;4
4;24;False;46
12;507;False;28
31;760;False;6
14;861;True;47
11;734;True;26
15;885;False;10
17;520;False;25
35;312;True;3
10;846;False;24
3;512;False;19
32;389;False;1
10;34;True;22
25;68;False;37
18;823;True;26
16;688;False;3
25;371;True;6
17;300;True;33
17;855;True;16
29;784;False;15
16;509;True;25
7;88;True;30
16;321;False;6
23;45;False;41
1;522;False;47
30;708;False;1
33;25;True;27
10;342;False;17
15;109;False;1
27;938;False;8
28;976;True;33
29;336;True;12
28;979;True;28
17;576;True;3
15;769;False;25
35;783;False;36
16;650;True;35
16;261;False;25
28;55;False;8
19;186;False;38
25;836;False;12
30;854;True;30
17;522;True;8
11;478;False;22
5;182;False;24
13;409;False;33
29;754;True;16
36;479;True;47
22;488;True;39
25;289;False;27
29;877;True;4
17;823;True;47
13;460;True;5
13;584;False;20
25;119;True;12
33;349;False;21
13;373;True;19
19;818;False;36
4;468;True;23
31;248;False;38
29;82;True;36
25;474;False;25
14;503;False;16
12;77;False;1
8;564;True;35
33;483;True;27
19;601;True;3
11;602;True;40
12;824;False;39
6;402;True;25
8;977;False;7
1;482;False;2
3;92;False;23
17;812;True;40
23;307;True;39
4;297;True;12
35;16;False;50
36;601;False;8
18;353;True;1
22;324;True;24
4;11;True;29
29;654;False;11
33;408;True;4
7;639;True;2
29;515;False;13
11;270;False;45
13;888;True;14
25;923;False;38
27;406;True;11
28;767;False;8
24;26;True;43
32;803;True;45
5;613;False;7
17;274;True;26
29;29;True;25
9;188;False;7
21;12;False;42
34;935;True;7
25;110;False;31
20;441;True;5
22;791;True;13
31;301;True;32
1;204;True;8
1;295;False;14
27;263;False;6
